system,period,n_docs,n_tokens,op_rate,rel_rate,ratio_op_to_rel
duke,early (2010-2016),60,52709,4.363581172095847,44.584416323588,0.09787234042553192
duke,late (2017-2025),6,4104,0.0,87.71929824561404,0.0
michigan,early (2010-2016),7,15424,5.186721991701245,88.17427385892117,0.058823529411764705
michigan,late (2017-2025),6,4517,2.2138587558113794,37.63559884879345,0.058823529411764705
stanford,early (2010-2016),66,71455,5.597928766356448,167.65796655237563,0.0333889816360601
stanford,late (2017-2025),28,31008,5.482456140350878,79.01186790505676,0.06938775510204082
ucdavis,early (2010-2016),80,55099,4.537287428083994,117.7879816330605,0.03852080123266564
ucdavis,late (2017-2025),6,3616,2.765486725663717,157.63274336283186,0.017543859649122806
ucsf,early (2010-2016),4,3207,6.236357966947303,205.799812909261,0.0303030303030303
ucsf,late (2017-2025),420,359071,9.468879413820664,68.76077433153888,0.1377075739165654
